Dataset,Architecture,Optimizer,BatchSize,AvgTrainLoss,AvgValLoss,StdValLoss,Metric,TrainMetric,ValMetric,K
Synthetic,Shallow,GradientDescent_Full (Custom),Full,1.8960852993337312,1.8927954946993713,0.20795690133106084,mse,1.8960852993337312,1.8927954946993713,5
Synthetic,Shallow,GradientDescent_MiniBatch (Custom),20,0.42662289644971896,0.43404890835038523,0.12306430811457955,mse,0.42662289644971896,0.43404890835038523,5
Synthetic,Shallow,SGD (Custom),1,0.09962502445003743,0.09588864396582948,0.02670121374007149,mse,0.09962502445003743,0.09588864396582948,5
Synthetic,Shallow,Adam (Custom),Full,0.3203814673191771,0.32124377146876915,0.11924422437838825,mse,0.3203814673191771,0.32124377146876915,5
Synthetic,Shallow,RMSProp (Custom),Full,0.19156011168307516,0.1827746960711388,0.04867451500854265,mse,0.19156011168307516,0.1827746960711388,5
Synthetic,Shallow,BFGS (Custom),Full,1.7324471915986113,1.7690237455355757,1.796176679556884,mse,1.7324471915986113,1.7690237455355757,5
Synthetic,Deep,GradientDescent_Full (Custom),Full,1.3989315275615,1.3744410701224277,0.18783433490748203,mse,1.3989315275615,1.3744410701224277,5
Synthetic,Deep,GradientDescent_MiniBatch (Custom),20,0.8111862937311146,0.8054083544244097,0.1625880372454726,mse,0.8111862937311146,0.8054083544244097,5
Synthetic,Deep,SGD (Custom),1,0.3147036930098922,0.3191502057446033,0.05725641157410731,mse,0.3147036930098922,0.3191502057446033,5
Synthetic,Deep,Adam (Custom),Full,0.7543852685158152,0.804207526090613,0.3461440185063343,mse,0.7543852685158152,0.804207526090613,5
Synthetic,Deep,RMSProp (Custom),Full,0.35186279659986225,0.34840077285327337,0.13587632504021468,mse,0.35186279659986225,0.34840077285327337,5
Higham Toy,Shallow,GradientDescent_Full (Custom),Full,0.09784611686963568,0.1517840037296368,0.044863010036953685,mse,0.09784611686963568,0.1517840037296368,5
Higham Toy,Shallow,GradientDescent_MiniBatch (Custom),20,0.11948345376033118,0.13701338792490725,0.04056366221408666,mse,0.11948345376033118,0.13701338792490725,5
Higham Toy,Shallow,SGD (Custom),1,0.07578536301154007,0.15209533352887794,0.05111941018614475,mse,0.07578536301154007,0.15209533352887794,5
Higham Toy,Shallow,Adam (Custom),Full,0.06075152260749509,0.16847539621586421,0.14051558202427156,mse,0.06075152260749509,0.16847539621586421,5
Higham Toy,Shallow,RMSProp (Custom),Full,0.05994120088495154,0.15871358004564035,0.11739832762720621,mse,0.05994120088495154,0.15871358004564035,5
Higham Toy,Shallow,BFGS (Custom),Full,0.04553173625879411,0.2944358891949804,0.16027479371123216,mse,0.04553173625879411,0.2944358891949804,5
Higham Toy,Deep,GradientDescent_Full (Custom),Full,0.08169358548775414,0.12251848371130622,0.06000911635275808,mse,0.08169358548775414,0.12251848371130622,5
Higham Toy,Deep,GradientDescent_MiniBatch (Custom),20,0.09901664342820693,0.09978686326178829,0.02740625513382013,mse,0.09901664342820693,0.09978686326178829,5
Higham Toy,Deep,SGD (Custom),1,0.05929882184371075,0.20271789948484886,0.21761229445739338,mse,0.05929882184371075,0.20271789948484886,5
Higham Toy,Deep,Adam (Custom),Full,0.013516078279489871,0.23360463851125787,0.25670393163566496,mse,0.013516078279489871,0.23360463851125787,5
Higham Toy,Deep,RMSProp (Custom),Full,0.025617723505454264,0.13236083655061684,0.041706736149338335,mse,0.025617723505454264,0.13236083655061684,5
Kaggle Dataset,Shallow,GradientDescent_Full (Custom),Full,1.1193814346408488,1.1253486333751315,0.058742502059040066,accuracy,0.5175985334555453,0.5055912007332722,5
Kaggle Dataset,Shallow,GradientDescent_MiniBatch (Custom),20,0.3043000604049864,0.35172945424054314,0.03124191745995995,accuracy,0.891429880843263,0.8685609532538955,5
Kaggle Dataset,Shallow,SGD (Custom),1,0.27523976844105846,0.3905693897862871,0.03798677681497144,accuracy,0.895737855178735,0.8637946837763518,5
Kaggle Dataset,Shallow,Adam (Custom),Full,0.5965332652291785,0.6207882445977164,0.021643634255873127,accuracy,0.7784142988084327,0.7664527956003666,5
Kaggle Dataset,Shallow,RMSProp (Custom),Full,0.6416599617164558,0.6681600592510266,0.04856324224441231,accuracy,0.726351970669111,0.7142071494042164,5
Kaggle Dataset,Shallow,BFGS (Custom),Full,0.03847806431437617,0.6529482804481644,0.19946498869505386,accuracy,0.9892300641613199,0.9338221814848764,5
